SiteName,Latitude,Longitude
Hamadi Buri,11.5247008490002,41.55150000000003
Mego,11.506900847647659,41.60970000000004
Shahi Bet,11.52220084881023,41.56030000000004
Ayboyta,11.665700859720898,41.369200000000035
Berga,11.532700849608121,41.489100000000064
Hasnahulbi,11.57410085275483,41.41330000000005
Omer dora,11.56290085190347,41.39250000000004
Dilbealu,11.634700857362807,41.24580000000003
Fartie,11.746000865831865,41.12230000000005
Galibuda,11.752200866303902,41.09020000000004
Gera,12.060200889782434,41.925200000000075
Aderash,11.500000847123452,41.343900000000076
Ardakoba,11.191400823706715,41.16530000000006
Erole,11.313400832957267,41.34490000000005
Erugageta,11.32130083355659,41.21790000000004
Garada,11.516800848399896,41.32960000000003
Gawule,11.237200827178395,41.29600000000005
Korari,11.146900820334787,41.33880000000004
Sabalu,11.178700822744265,41.18050000000005
Bategura,12.511000924257665,41.13280000000003
Galaha,11.433000842034536,40.91710000000006
Marto,11.85750087432402,40.18420000000003
Erga Alayito,12.288400907217378,40.418300000000045
Naftu,12.4349009184284,39.96770000000004
Deraele,9.270900679188824,40.43240000000003
Dereibi,9.022100660606515,40.246300000000076
Derogersa,9.334800683966186,40.28720000000004
Kirensa,9.220100675392288,40.13530000000003
Dankar,9.271800679256097,40.05840000000006
Komayirged,9.21220067480198,40.03090000000003
Gumeruk gereba,8.979500657427792,40.152900000000045
Lalaba,9.483200695068854,40.10760000000005
Segento,9.307500681924937,40.05560000000003
Alidabeli,9.827900720900491,40.516100000000044
Adoda Rifo,10.159800745831115,40.70500000000005
Af'asin Gefen,10.13490074395873,40.70070000000004
Ambuli,10.298500756266925,40.725100000000054
Adawa Hassni Kore,9.441700691962867,40.36990000000003
Debole,9.682900710026907,40.44550000000004
Gudale Gedamaytu,9.698700711211188,40.44730000000004
Kusura,9.53620069903673,40.391500000000065
Rebada,9.595800703500396,40.40450000000004
Galgala,10.62250078068594,40.41130000000004
Goroyyademum,9.975000731942677,40.140600000000056
Maderale,10.908900802320344,40.16900000000003
Bieda gubi,13.384700991469678,39.84420000000006
Lawade,13.398900992566489,39.85420000000005
Baraira,13.711601016757953,39.98630000000003
Folhoh Amo,13.849101027418397,40.00610000000006
Sodomta,12.823200948213401,40.98930000000007
Admorug,14.517701079462102,40.12400000000008
Bada Admorug,14.518901079555807,40.11600000000004
Lakora,13.252800981288267,40.00170000000003
Dirma,12.459200920289403,39.973900000000064
Bole Mesjid,10.965000806563577,36.50230000000005
Forenk,10.961500806298817,36.50770000000006
Sertia Center,12.484300922212052,37.03880000000004
Kebero Meda,12.551900927392248,37.41620000000006
Abba Libanos Center,10.26110075345192,37.65590000000003
Mariyam Minch,10.871900799522718,38.27270000000004
Golmasa,12.998000961655539,37.781900000000064
Youth Center,10.064500738666702,38.98530000000005
Timbaho Monopol,10.336700759142962,39.950600000000065
Andegna Police Tabya,9.687200710349208,39.543900000000065
Betemengist,9.678700709712082,39.53240000000005
China Camp,9.641700706939266,39.508500000000026
Kebele 03 Adarash,9.680000709809534,39.53370000000007
Weyinshet Fabrica,9.662800708520441,39.503800000000076
Medebit,10.246100752323132,39.41360000000003
Tosign Afaf,10.14110074442489,39.78970000000004
Sefere Selam,8.928100653593557,39.41810000000004
Wetat Maekel,9.999600733790428,39.89590000000004
Girana,11.569600852412737,39.72070000000008
Wuha limat,11.844500873333466,39.73840000000008
Military Camp,11.674200860367545,39.658100000000054
Abuarie,12.100400892851312,39.650000000000034
Awura Godana Camp,11.982100883823202,39.776500000000055
Adis Alem,11.827100872007854,39.57120000000003
College,11.824000871771743,39.58150000000006
Gibrina Maekel,11.824800871832656,39.58730000000003
Melo Military Camp,11.864300874842176,37.989400000000046
Jida Sefer,10.91740080296312,40.02670000000006
Gomata Camp,11.584200853522686,39.213400000000036
Gomata,11.097300816577773,39.59860000000003
Harbu-ORDA,10.919700803137049,39.78560000000005
Degolo 01,10.426800765929618,39.249100000000055
Gebeya dar,10.418900765334381,39.255400000000066
China Camp,11.158200821190878,39.91640000000007
Kutaber Camp,11.25850082879339,39.55840000000006
Debat,10.738800789465449,38.71930000000003
Legemara Camp,10.753000790537957,38.75020000000006
Wollo Sefer,10.75230079048509,38.75600000000003
Dero Erebata,11.22910082656436,39.064500000000066
Genatit,11.224400826208043,39.092200000000055
High School Camp,11.232700826837227,39.07090000000005
Awura Godana,11.201600824479778,39.224600000000066
Tenta Hotel,11.318800833366932,39.251100000000065
Awera godana,11.323200833700717,39.682900000000075
Jari,11.368700837153277,39.64900000000006
Jari Kutir 2,11.405900839976946,39.63980000000004
Mekane Eyesus,11.30240083212281,39.68590000000005
Dubeta FTC,11.321400833564153,39.772500000000036
Tirki Camp,12.553100927484214,39.058700000000044
Woleh Camp,12.543500926748386,39.06330000000003
Maibulit,12.626100933081807,39.024600000000085
Mindikiru,12.633900933680094,39.029300000000035
Bata Tsebel,10.686300785501295,37.24740000000003
Military Camp,13.688801014991665,36.462000000000046
Genete Mariam IDP,11.09660081652471,36.42710000000005
DDC,9.316100682567942,41.44110000000006
Fadiso,9.306600681857649,41.448300000000074
Golmasa,9.329900683599814,41.44780000000003
New Golmasa,9.330800683667112,41.44820000000004
Woreda Water Office,9.319700682837121,41.44390000000004
Woreda Youth Association Hall,9.319800682844575,41.441500000000076
Magala Girawa,9.140300669430893,41.83310000000006
Agricultural Office,9.374900686965212,41.366200000000056
Ali Sheko Camp,9.375500687010113,41.363800000000026
Ganda Wagayehu,9.384500687683339,41.369800000000055
Karamile,9.375600687017624,41.36220000000003
Kersa Town,9.449400692539085,41.86180000000007
Chelenko Food store,9.400300688865306,41.55780000000004
Roge,8.376700612537586,41.87720000000007
Galma Bulchinsa,9.87040072408966,36.62660000000005
Gida high school,9.868800723969525,36.627500000000055
TEVET college Block 2,9.869100723992078,36.62930000000006
TEVET college Block 4,9.86900072398454,36.62940000000003
TVET college BlOCK 1,9.869000723984541,36.62930000000006
TVET college Block 3,9.869800724044607,36.62960000000004
Amuma,9.095300666070614,36.95560000000006
Adiminstration Hall,8.763100641293569,36.64140000000003
Agriculture Hall,8.763600641330813,36.64140000000003
Bus station,9.56470070117099,37.10660000000007
Shambu University Campus,9.57560070198735,37.114900000000034
Youth Center,9.569200701507965,37.09250000000003
Youth Center,10.002900734038345,38.247100000000046
Obi koji,8.555700625850506,37.98970000000003
Gelemso Town,8.814400645116375,40.51680000000005
Magala Hori/Gand Dinku,9.225100675765903,41.09720000000004
Micheta Town,8.573300627160267,40.320700000000045
Tulo Town,9.216200675100884,41.09730000000008
Gand Camp,9.088000665525545,40.87250000000006
Kuni Town,9.013600659972225,40.892300000000034
Magala Lami,9.026900660964783,40.39070000000004
Buno 2,9.243500677140917,40.755300000000034
Ganda Buno,9.243500677140917,40.75780000000003
kebele House,9.124900668280809,37.05650000000003
Qanso,8.269400604564083,41.847500000000025
Afdam Town,9.474300694402649,40.998200000000054
Afdem Town_Conflict,9.468200693946079,40.99920000000003
Ali jiir,9.764700716159776,40.82590000000005
Asli,9.805600719227472,40.921800000000076
Asli,9.80660071930252,40.92220000000003
Deer-eela,9.524500698160663,41.10330000000005
Todobashub,9.472100694238025,40.96130000000005
Asbuli,9.983300732566082,41.16390000000007
Asbuli_Conflict,9.9761007320253,41.16380000000004
Aydora,9.852600722753833,41.36560000000003
CASKA,10.114400742417427,41.10260000000005
Erer Town Conflict,9.561000700893851,41.382600000000025
Kalami,9.574700701919939,41.63840000000005
Fadato,10.194900748471069,41.66300000000006
Fadato,10.19540074850867,41.66380000000003
Hariso,10.568800776634685,41.54790000000002
Hariso_Conflict,10.58730077803015,41.54090000000008
Hoora,10.325200758277045,41.76060000000007
Biki Town Conflict,9.52560069824303,41.19500000000005
Dankarona,9.756000715507303,41.19480000000004
Haanwenle,9.870500724097134,41.179400000000044
Afase,9.69870071121119,40.76430000000005
Afase,9.69990071130118,40.76330000000007
Butiiji,9.56220070098376,40.75410000000005
Ged-Ugas,9.410400689620891,40.73750000000007
Ged-Ugas_Conflict,9.408800689501188,40.73840000000007
Hardin Conflict,9.010200659718505,40.328500000000076
Hardin Drought,9.014400660031894,40.32830000000007
Kato Conflict,9.018900660367718,40.347500000000025
Kato Drought,9.020200660464747,40.34590000000003
Kurfasawa,9.273100679353288,40.81050000000005
Manjo,9.293400680870807,40.75510000000003
Manjo Conflict,9.28930068056425,40.76070000000005
Somadaye Conflict,9.250400677656627,40.777900000000045
Hadhkalay,10.118200742703124,41.61400000000003
